# S45 Re-gate verdict — fixed (close-bias-corrected) harness, prod_safety preset + -170 floor
# Generated 2026-05-30T00:20Z. Roster: 279 live S43/S43b engines.
#
# 80/20 OOS split: 279 PASS / 0 FAIL.
# 90d holdout:  OLD(buggy)=233 PASS/46 FAIL  ->  NEW(fixed)=279 PASS/0 FAIL.
# CONCLUSION: zero culls. Close-bias bug caused ~46 FALSE-NEGATIVE fails; fix revives them.
# Blew-up engines (29-May) all PASS strongly (JUP PF3.1, RENDER PF3.2, SEI PF2.3) -> loss was
# protection-gap (no real floor) + correlated dump, NOT engine quality.
#
tag,symbol,strategy,tf_secs,trades,wins,wr,total_bp,pf,sharpe,maxdd_bp,verdict_fixed_80_20
OP-TSMOM-H2,opusdt,TSMOM,7200,1234,961,77.9,47177.8,2.275,11.35,1038,PASS
OP-TSMOM-H3,opusdt,TSMOM,10800,832,662,79.6,39892.8,2.634,10.99,943,PASS
OP-TSMOM-H4,opusdt,TSMOM,14400,627,511,81.5,40193.0,3.108,11.08,951,PASS
OP-TSMOM-H8,opusdt,TSMOM,28800,282,233,82.6,32026.5,5.017,9.24,576,PASS
PEPE-ICHI-H3,pepeusdt,ICHIMOKU,10800,362,282,77.9,27621.6,3.805,9.65,618,PASS
PEPE-TSMOM-H12,pepeusdt,TSMOM,43200,141,98,69.5,18612.4,4.385,6.23,601,PASS
PEPE-TSMOM-H3,pepeusdt,TSMOM,10800,648,495,76.4,40248.4,3.700,12.55,877,PASS
PEPE-TSMOM-H4,pepeusdt,TSMOM,14400,507,374,73.8,37879.0,3.570,10.65,759,PASS
PEPE-TSMOM-H6,pepeusdt,TSMOM,21600,357,267,74.8,32778.3,4.214,10.20,576,PASS
PYTH-ICHI-H6,pythusdt,ICHIMOKU,21600,129,96,74.4,9497.8,2.651,5.54,675,PASS
PYTH-ICHI-H8,pythusdt,ICHIMOKU,28800,106,81,76.4,9995.5,3.207,6.37,639,PASS
PYTH-TSMOM-H12,pythusdt,TSMOM,43200,120,91,75.8,14952.7,3.824,7.50,760,PASS
PYTH-TSMOM-H2,pythusdt,TSMOM,7200,701,560,79.9,31468.9,2.489,11.28,970,PASS
