tag,symbol,kind,tf,n_bars,blowoff_skips,trades,pf,sharpe,win,mdd_cmp,mdd_bp,cum_bp,cagr,avg_loss_bp,avg_win_bp,worst_bp,max_loss_streak,max_run_loss_bp,n_sl,n_time,n_kill,n_giveback,passes
NEAR-BOLL-H2,nearusdt,BOLLINGER,2h,23661,0,2440,7.728242624506384,11.569496754646998,0.780327868852459,-0.0823752835896171,-854.2473924876977,184603.20089973777,27.879145139314048,-51.1885459730672,111.36568358261633,-72.00000000000105,6,-347.7157057654097,399,0,288,1753,True
NEAR-BOLL-H4,nearusdt,BOLLINGER,4h,11833,0,928,16.82253457144543,8.905750562075584,0.8469827586206896,-0.0265171292584212,-266.62384631461464,113289.18877770772,6.830652413293424,-50.42246455351085,153.2432299545883,-72.00000000000101,4,-211.1386861313901,111,0,71,746,True
APT-BOLL-H2,aptusdt,BOLLINGER,2h,15793,0,1989,5.733078121008159,12.401017136893271,0.7566616390145802,-0.055684719817909456,-568.7500327944363,117842.16136129628,24.15028571267996,-51.44126798203308,94.84367778378758,-72.0000000000008,5,-239.77531857813426,371,0,256,1362,True
APT-BOLL-H4,aptusdt,BOLLINGER,4h,7897,0,384,11.7501828755589,7.326681530783649,0.828125,-0.015085135759340451,-151.4261627083779,35099.64655634931,1.6128034870475143,-49.470119045179885,120.64363023060118,-72.00000000000078,4,-146.7363410288569,54,0,37,293,True
APT-BOLL-H3,aptusdt,BOLLINGER,3h,10529,0,458,8.43086229794058,7.291571033205617,0.8100436681222707,-0.01651063783183393,-165.86720925593545,33877.334497588534,1.529432408542208,-52.40235033092836,103.60199185007903,-72.00000000000072,3,-144.0000000000008,69,0,41,348,True
ARB-BOLL-H6,arbusdt,BOLLINGER,6h,4643,0,582,21.92539043010719,9.253368710742066,0.8814432989690721,-0.012159072622914713,-122.07491021035821,72309.02089354201,8.315346339835832,-50.080634244047346,147.68924884284843,-72.00000000000074,3,-122.07491021035713,64,0,35,483,True
ARB-BOLL-H3,arbusdt,BOLLINGER,3h,9284,0,795,7.672232544334073,9.29010680514211,0.7886792452830189,-0.0238261382454501,-240.39769370837894,58042.932782939024,5.051709950206786,-51.780816274288945,106.44674627913804,-72.00000000000092,3,-173.90289781394114,136,0,77,582,True
APT-BOLL-H6,aptusdt,BOLLINGER,6h,5265,0,211,15.314575327930498,5.56423557700766,0.8388625592417062,-0.028494084639503647,-287.950155620475,25215.1245652015,0.988859294668075,-51.80882378635255,152.4103083273305,-72.00000000000048,3,-174.09040722115398,27,0,15,169,True
SUI-BOLL-H6,suiusdt,BOLLINGER,6h,4479,0,214,32.11774193959013,6.999326125601522,0.897196261682243,-0.009498488418528295,-95.211478132504,35951.88886435889,2.15510194342024,-52.51591743816909,193.26687004165933,-72.00000000000018,2,-95.211478132504,16,0,11,187,True
SUI-BOLL-H4,suiusdt,BOLLINGER,4h,6718,0,321,15.250071070247714,7.839347566589736,0.8629283489096573,-0.014279688242598843,-143.36691713668915,31371.82265808211,1.7442912025498964,-50.0345553356929,121.20340466733784,-72.00000000000027,2,-113.61538461539266,35,0,26,260,True
