tag,symbol,strategy,tf_secs,oos_trades,oos_wins,oos_pf,oos_sharpe,oos_total_bp,oos_max_dd_bp,verdict,note
LINK-DONCH-H16,linkusdt,DONCHIAN,57600,35,23,0.765602,-0.384686,-2803.11,6123.49,FAIL,
SUI-DONCH-H16,suiusdt,DONCHIAN,57600,59,38,1.15323,0.295583,4072.31,6829.49,FAIL,
NEAR-DONCH-H16,nearusdt,DONCHIAN,57600,67,44,1.34831,0.687902,9876.84,6306.51,PASS,
SOL-DONCH-H16,solusdt,DONCHIAN,57600,34,28,1.68465,0.782562,5624.08,3064.42,PASS,
DOGE-DONCH-H16,dogeusdt,DONCHIAN,57600,39,15,1.02694,0.0421617,510.388,6070.27,FAIL,
BNB-DONCH-D2,bnbusdt,DONCHIAN,172800,28,24,2.08946,0.898065,6040.35,2750.11,PASS,
XRP-DONCH-D2,xrpusdt,DONCHIAN,172800,16,10,2.55889,0.824897,9657,3649.95,FAIL,
BTC-DONCH-D2,btcusdt,DONCHIAN,172800,19,15,1.06642,0.0630881,461.935,3853.38,FAIL,
ETH-DONCH-D2,ethusdt,DONCHIAN,172800,16,15,4.94127,1.51512,6220.96,1578.41,FAIL,
LINK-DONCH-D2,linkusdt,DONCHIAN,172800,18,11,1.28938,0.26021,2281.24,4563.49,FAIL,
BTC-DONCH-D3,btcusdt,DONCHIAN,259200,18,16,3.46942,1.12192,4464.06,1772.51,FAIL,
ETH-DONCH-D3,ethusdt,DONCHIAN,259200,16,12,1.82744,0.614512,2979.67,1683.31,FAIL,
XRP-DONCH-D3,xrpusdt,DONCHIAN,259200,16,10,1.6873,0.490989,8215.24,5609.58,FAIL,
BNB-DONCH-D3,bnbusdt,DONCHIAN,259200,29,10,0.814772,-0.284742,-2606.51,9114.49,FAIL,
DOGE-DONCH-D3,dogeusdt,DONCHIAN,259200,27,11,1.02155,0.0240439,478.347,12244.3,FAIL,
XRP-DONCH-H2,xrpusdt,DONCHIAN,7200,196,100,1.21718,0.68684,6478.25,4518.35,FAIL,
NEAR-DONCH-H2,nearusdt,DONCHIAN,7200,196,101,1.02496,0.101082,1176.37,7139.43,FAIL,
XRP-DONCH-H3,xrpusdt,DONCHIAN,10800,184,88,1.20369,0.596118,6547.01,6572.83,FAIL,
NEAR-DONCH-H3,nearusdt,DONCHIAN,10800,213,135,0.940979,-0.234676,-3226.4,13253,FAIL,
XRP-DONCH-H4,xrpusdt,DONCHIAN,14400,110,49,1.27282,0.629916,5995.13,5113.68,FAIL,
XRP-DONCH-H6,xrpusdt,DONCHIAN,21600,67,40,2.00249,1.60396,15425.2,3276.95,PASS,
BNB-DONCH-H6,bnbusdt,DONCHIAN,21600,82,56,1.36588,0.724768,5045.43,3383.23,PASS,
XRP-DONCH-H12,xrpusdt,DONCHIAN,43200,39,25,1.70674,0.917002,8838.42,5358.45,PASS,
NEAR-DONCH-H12,nearusdt,DONCHIAN,43200,43,36,2.36998,1.37817,12273.7,3117.64,PASS,
ETH-TSMOM-H12,ethusdt,TSMOM,43200,134,103,1.26744,0.718889,9101.28,9099.32,FAIL,
SOL-TSMOM-H12,solusdt,TSMOM,43200,235,189,1.41304,1.17444,17824.7,6535.96,PASS,
BNB-TSMOM-H12,bnbusdt,TSMOM,43200,258,218,1.60947,1.72072,18719.4,3898.01,PASS,
LINK-TSMOM-H12,linkusdt,TSMOM,43200,313,222,1.38749,1.4441,21152.2,6246.39,PASS,
XRP-TSMOM-H12,xrpusdt,TSMOM,43200,227,168,1.32235,0.968097,14630.9,6343.7,PASS,
APT-TSMOM-H12,aptusdt,TSMOM,43200,283,205,1.2701,1.00248,16184.2,13580.1,FAIL,
ETH-RSI-H4,ethusdt,RSI_REVERT,14400,33,27,1.73844,0.735112,2379.12,1927.29,PASS,
